dataset_name,protein,condition,replicate,source_file,source_folder,track_id,cell_id,video_id,n_frames,track_length,is_control,control_role,P_free_like,P_chromatin_bound_like,P_mcm_bound_like,supervised_control_prediction,distance_to_NLS_centroid,distance_to_H2B_centroid,distance_to_MCM2_Bound_centroid,nearest_control_class,nearest_control_distance,control_outlier_score,is_control_outlier,max_trap_dwell_frames,mean_trap_dwell_frames,trap_prob_mean,frac_supported_high_score_windows,max_consecutive_diffusive,frac_bound,frac_constrained,frac_diffusive,max_consecutive_constrained,max_consecutive_bound,n_state_switches,trapping_score,temporal_score,n_supported_high_score_windows,supported_temporal_trapping,diffusive_burst_flag,final_control_guided_class,classification_reason,_join_key,old_classification,old_trapping_score_mean,old_trapping_score_max,old_temporal_track_score,old_trapping_like,review_priority_score,inspection_reason
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,92,1.0,7,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,41.0,41.0,0.9999657446194732,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|7|1|92,trapping_like,2.302545097886676,2.7442098010147773,1.7712896904915545,True,8.978368355995055,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,37,3.0,1,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,45.0,45.0,0.9999682155754184,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|1|3|37,trapping_like,1.9610940343322492,2.416192506209247,1.9303818350604365,True,8.978368355995055,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,76,2.0,7,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,43.0,43.0,0.9999670375615376,0.9696969696969696,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|7|2|76,trapping_like,2.133302765543469,3.0835818942389377,1.8508357915080416,True,8.975896168108775,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,175,3.0,8,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,47.0,47.0,0.9999692933327986,0.7297297297297297,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|8|3|175,trapping_like,1.6375500059605523,2.3364564068857825,2.0099278284845807,True,8.973423980222496,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,103,4.0,8,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,59.0,59.0,0.999974225442844,0.2040816326530612,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|8|4|103,trapping_like,1.0601096386140652,2.6060619504024283,2.4872030218123307,True,8.96847960444994,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,150,1.0,7,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,37.0,37.0,0.9999627394027836,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|7|1|150,trapping_like,2.575320636218268,3.145849698122123,1.612197278792301,True,8.957972805933252,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,81,3.0,3,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,39.0,39.0,0.9999643190679668,0.8620689655172413,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|3|3|81,trapping_like,1.67537012436182,2.828895521693069,1.691743523170347,True,8.932632880098888,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,192,4.0,7,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,37.0,37.0,0.9999627394027836,0.925925925925926,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|7|4|192,trapping_like,2.010245185939004,2.541353452177121,1.612197278792301,True,8.932014833127319,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,14,5.0,5,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,43.0,43.0,0.9999670375615376,0.4242424242424242,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|5|5|14,trapping_like,1.3130765321849418,2.818151504361589,1.8508357915080416,True,8.923980222496908,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,142,1.0,4,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,38.0,38.0,0.9999635500204436,0.7142857142857143,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|4|1|142,trapping_like,1.5659711837122396,2.646254934380009,1.651970411373858,True,8.917181705809641,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,51,3.0,2,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,34.0,34.0,0.9999600214494536,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|2|3|51,trapping_like,2.1887990206355457,2.9189878332129564,1.4928777379974545,True,8.904820766378245,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,107,2.0,2,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,48.0,48.0,0.9999697985315704,0.2631578947368421,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|2|2|107,trapping_like,0.6540303580827715,1.8699327219537476,2.049700808356694,True,8.89184177997528,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,28,5.0,6,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,34.0,34.0,0.9999600214494536,0.7916666666666666,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|6|5|28,trapping_like,1.6946756541009886,2.3514218853919204,1.4928777379974545,True,8.88380716934487,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,96,3.0,2,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,29.0,29.0,0.9999542418935228,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|2|3|96,trapping_like,2.5350612836664133,3.1393577186291,1.2940112118558522,True,8.873300370828183,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,1,5.0,6,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,30.0,30.0,0.9999555519262004,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|6|5|1,trapping_like,2.2312863215705177,2.7205358492141505,1.3337845941449182,True,8.868355995055623,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,111,3.0,3,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,36.0,36.0,0.9999618837508094,0.5,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|3|3|111,trapping_like,1.1455244360463182,2.2774090010552954,1.5724241236935868,True,8.853522867737947,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,168,4.0,3,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,26.0,26.0,0.9999497071650232,0.875,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|3|4|168,trapping_like,1.9816194291211888,2.711513566437635,1.1746907626734209,True,8.820766378244747,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,25,6.0,2,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,37.0,37.0,0.9999627394027836,0.1111111111111111,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|2|6|25,trapping_like,0.6625820454145261,1.6809415625426938,1.612197278792301,True,8.819530284301607,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,32,5.0,2,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,30.0,30.0,0.9999555519262004,0.4,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|2|5|32,trapping_like,1.4212420193725026,2.4246061548034303,1.3337845941449182,True,8.818912237330036,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,33,1.0,7,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,36.0,36.0,0.9999618837508094,0.4230769230769231,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|7|1|33,trapping_like,0.904992822221012,1.9620699863147284,1.5724241236935868,True,8.817676143386898,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,61,1.0,4,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,25.0,25.0,0.9999479537366696,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|4|1|61,trapping_like,2.259552190715029,2.6488775001004927,1.1349171586865163,True,8.815203955500618,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,2,2.0,3,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,33.0,33.0,0.9999590056487144,0.2608695652173913,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|3|2|2,trapping_like,1.0429433863528452,2.456488118938777,1.4531045028243572,True,8.8114956736712,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
HAP1-0426-CT,NONO,CT,426,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\NONO\HAP1-0426-CT\CSV\SF_10ms_condensate_pj_,89,5.0,1,1,1,False,target,0.4318637326364408,0.5681362673635594,0.0,chromatin_bound_like,3.5627904405670265,1.29081670081925,1.4052023804571572,H2B,1.29081670081925,1.29081670081925,False,33.0,33.0,0.9988624140544942,0.391304347826087,0.0,0.8484848484848485,0.1515151515151515,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,NONO|HAP1-0426-CT|1|5|89,trapping_like,1.219932164843254,1.948736632057117,1.444743707027247,True,8.80902348578492,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,38,4.0,8,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,26.0,26.0,0.9999497071650232,0.5625,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|8|4|38,trapping_like,1.749518823043935,2.596086495543584,1.1746907626734209,True,8.80716934487021,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
WT-0416-CT,TDP43,CT,416,condensate_evaluation_summary.csv,D:\Tianzi\condensate_classification_pj\TDP43\WT-0416-CT\CSV\SF_10ms_condensate_pj_,15,6.0,2,1,1,False,target,0.0478783575052112,0.4668463509204003,0.4852752915743884,mcm_bound_like,3.845115694015103,1.7931743662286168,1.2860544369689475,MCM2_Bound,1.2860544369689475,1.2860544369689475,False,24.0,24.0,0.999946054189287,1.0,0.0,1.0,0.0,0.0,,,,,,,False,False,ambiguous,Insufficient or conflicting evidence for a specific control-guided class.,TDP43|WT-0416-CT|2|6|15,trapping_like,2.255759315247833,2.888081157016939,1.0951434816400978,True,8.800988875154511,old trapping_like + current ambiguous + ranked by trapping/temporal/outlier features
